DESCRIPTION,VIDEOA,VIDEOB,VIDEOC
turn the knife,https://s3.amazonaws.com/voxsim-videos/video/turn_the_knife/turn_the_knife-2017-03-17-003841.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_knife/turn_the_knife-2017-03-17-003847.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_knife/turn_the_knife-2017-03-17-003853.mp4
turn the pencil,https://s3.amazonaws.com/voxsim-videos/video/turn_the_pencil/turn_the_pencil-2017-03-17-003858.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_pencil/turn_the_pencil-2017-03-17-003904.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_pencil/turn_the_pencil-2017-03-17-003910.mp4
turn the paper sheet,https://s3.amazonaws.com/voxsim-videos/video/turn_the_paper_sheet/turn_the_paper_sheet-2017-03-17-003916.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_paper_sheet/turn_the_paper_sheet-2017-03-17-003921.mp4,https://s3.amazonaws.com/voxsim-videos/video/turn_the_paper_sheet/turn_the_paper_sheet-2017-03-17-003926.mp4
lift the block,https://s3.amazonaws.com/voxsim-videos/video/lift_the_block/lift_the_block-2017-03-17-010428.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_block/lift_the_block-2017-03-17-010435.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_block/lift_the_block-2017-03-17-010442.mp4
lift the ball,https://s3.amazonaws.com/voxsim-videos/video/lift_the_ball/lift_the_ball-2017-03-17-010449.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_ball/lift_the_ball-2017-03-17-010455.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_ball/lift_the_ball-2017-03-17-010502.mp4
lift the plate,https://s3.amazonaws.com/voxsim-videos/video/lift_the_plate/lift_the_plate-2017-03-17-010510.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_plate/lift_the_plate-2017-03-17-010519.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_plate/lift_the_plate-2017-03-17-010525.mp4
lift the cup,https://s3.amazonaws.com/voxsim-videos/video/lift_the_cup/lift_the_cup-2017-03-17-010532.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_cup/lift_the_cup-2017-03-17-010543.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_cup/lift_the_cup-2017-03-17-010550.mp4
lift the disc,https://s3.amazonaws.com/voxsim-videos/video/lift_the_disc/lift_the_disc-2017-03-17-010556.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_disc/lift_the_disc-2017-03-17-010602.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_disc/lift_the_disc-2017-03-17-010608.mp4
lift the book,https://s3.amazonaws.com/voxsim-videos/video/lift_the_book/lift_the_book-2017-03-17-010614.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_book/lift_the_book-2017-03-17-010638.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_book/lift_the_book-2017-03-17-010701.mp4
lift the blackboard,https://s3.amazonaws.com/voxsim-videos/video/lift_the_blackboard/lift_the_blackboard-2017-03-17-010724.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_blackboard/lift_the_blackboard-2017-03-17-010731.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_blackboard/lift_the_blackboard-2017-03-17-010739.mp4
lift the bottle,https://s3.amazonaws.com/voxsim-videos/video/lift_the_bottle/lift_the_bottle-2017-03-17-010802.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_bottle/lift_the_bottle-2017-03-17-010808.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_bottle/lift_the_bottle-2017-03-17-010815.mp4
lift the grape,https://s3.amazonaws.com/voxsim-videos/video/lift_the_grape/lift_the_grape-2017-03-17-010822.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_grape/lift_the_grape-2017-03-17-010828.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_grape/lift_the_grape-2017-03-17-010834.mp4
lift the apple,https://s3.amazonaws.com/voxsim-videos/video/lift_the_apple/lift_the_apple-2017-03-17-010840.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_apple/lift_the_apple-2017-03-17-010846.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_apple/lift_the_apple-2017-03-17-010852.mp4
lift the banana,https://s3.amazonaws.com/voxsim-videos/video/lift_the_banana/lift_the_banana-2017-03-17-010858.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_banana/lift_the_banana-2017-03-17-010905.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_banana/lift_the_banana-2017-03-17-010911.mp4
lift the bowl,https://s3.amazonaws.com/voxsim-videos/video/lift_the_bowl/lift_the_bowl-2017-03-17-010919.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_bowl/lift_the_bowl-2017-03-17-010925.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_bowl/lift_the_bowl-2017-03-17-010931.mp4
lift the knife,https://s3.amazonaws.com/voxsim-videos/video/lift_the_knife/lift_the_knife-2017-03-17-010937.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_knife/lift_the_knife-2017-03-17-011001.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_knife/lift_the_knife-2017-03-17-011024.mp4
lift the pencil,https://s3.amazonaws.com/voxsim-videos/video/lift_the_pencil/lift_the_pencil-2017-03-17-011047.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_pencil/lift_the_pencil-2017-03-17-011053.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_pencil/lift_the_pencil-2017-03-17-011059.mp4
lift the paper sheet,https://s3.amazonaws.com/voxsim-videos/video/lift_the_paper_sheet/lift_the_paper_sheet-2017-03-17-011105.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_paper_sheet/lift_the_paper_sheet-2017-03-17-011112.mp4,https://s3.amazonaws.com/voxsim-videos/video/lift_the_paper_sheet/lift_the_paper_sheet-2017-03-17-011118.mp4
